area,region,ni_p50,ox_p50,ph_p50,ts_min,ts_p50,ts_max,latitude,longitude,area_id
Yarra Catchment,"Brushy Creek at Lower Homestead Road, Wonga Park",3.6,9,0.11,14,26,50,-37.7259348,145.2929381,YarraCatchment
Yarra Catchment,"Cockatoo Creek at Tschampions Road, Macclesfield",1.2,10,0.02,4,11,47,-37.8851834,145.4770078,YarraCatchment
Yarra Catchment,"Coranderrk Creek at Healesville-Koo Wee Rup Rd, Badger Creek",0.3,10,0.02,1,2,6,-37.6922709,145.5191148,YarraCatchment
Yarra Catchment,"Darebin Creek at Clark Road, Alphington",0.9,9,0.05,1,4,18,-37.7810539,145.0306948,YarraCatchment
Yarra Catchment,"Diamond Creek at Strathewan Road, Cottlesbridge",0.9,8,0.04,1,7,10,-37.4713077,144.7851531,YarraCatchment
Yarra Catchment,"Diamond Creek at Main Road, Eltham",0.9,8,0.06,8,15,40,-37.6996816,145.1075351,YarraCatchment
Yarra Catchment,"Edgars Creek at Murray Road, Coburg",0.9,8,0.06,1,5,12,-37.7354297,144.9776807,YarraCatchment
Yarra Catchment,"Gardiners Creek at footbridge off Barrington Drive, Ashwood",1.4,11,0.08,2,8,37,-37.863468,145.0999374,YarraCatchment
Yarra Catchment,"Gardiners Creek at Glenferrie Road, Hawthorn",1.2,10,0.07,4,8,38,-37.8355111,145.0330127,YarraCatchment
Yarra Catchment,"Hoddles Creek upstream Warburton Hwy, Launching Place",0.5,10,0.02,1,7,18,-37.7761214,145.578957,YarraCatchment
Yarra Catchment,"Jumping Creek at Jumping Creek Road, Wonga Park",0.6,8,0.04,1,4,15,-37.735615,145.2605237,YarraCatchment
Yarra Catchment,"Koonung Creek at Bulleen Road, Bulleen",1.0,7,0.09,2,8,54,-37.7809428,145.0786726,YarraCatchment
Yarra Catchment,"Little Yarra River at Corduroy Road, Yarra Junction",0.7,10,0.03,6,12,52,-37.7758851,145.6048173,YarraCatchment
Yarra Catchment,"McCrae Creek upstream Healesville-Koo Wee Rup Road, Yellingbo",0.6,9,0.02,8,13,63,-37.8343126,145.5167049,YarraCatchment
Yarra Catchment,"McMahons Creek at Woods Point Road, McMahons Creek",0.4,10,0.02,1,3,6,-37.7007133,145.8313999,YarraCatchment
Yarra Catchment,"Merri Creek at Summerhill Road, Craigieburn",0.7,8,0.05,2,5,44,-37.5710091,144.9523826,YarraCatchment
Yarra Catchment,"Merri Creek at Roseneath Street, Yarra Bend",1.1,10,0.08,1,5,50,-37.4713077,144.7851531,YarraCatchment
Yarra Catchment,"Moonee Ponds Creek at walk bridge in Jacana Reserve, Gladstone Park",1.2,5,0.11,1,7,14,-37.6876358,144.8863194,YarraCatchment
Yarra Catchment,"Moonee Ponds Creek at Racecourse Road, Flemington",1.9,9,0.08,4,11,37,-37.7883911,144.9332083,YarraCatchment
Yarra Catchment,"Mullum Mullum Creek at Deep Creek Reserve, Warrandyte",1.7,8,0.10,5,13,28,-37.738014,145.218887,YarraCatchment
Yarra Catchment,"New Chum Creek at Valley Farm Road, Healesville",3.1,9,0.02,1,4,10,-37.6315762,145.5163193,YarraCatchment
Yarra Catchment,"Olinda Creek upstream Hull Rd, Lilydale",1.0,9,0.02,4,9,46,-37.77600640000001,145.3532756,YarraCatchment
Yarra Catchment,"Olinda Creek at MacIntyre Lane, Coldstream",1.6,9,0.05,12,22,32,-37.724602,145.379623,YarraCatchment
Yarra Catchment,"O'Shannassy River at a small track off Road one, Warburton East",0.4,10,0.01,1,1,6,-37.4713077,144.7851531,YarraCatchment
Yarra Catchment,"Pauls Creek at Healesville-Yarra Glen Road, Tarrawarra",0.9,7,0.05,10,13,33,-37.654386,145.4418698,YarraCatchment
